Medical Equipment,Services,Kode RS,Hospital Name,City/Regency,Province,Year,Volume
Ventilator Non-invasif Anak/Dewasa,MotherChild,1205046,Rumah Sakit Umum Daerah Porsea,Toba Samosir,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1207015,Rumah Sakit Umum Daerah Rantau Prapat,Labuhan Batu,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1208016,Rumah Sakit Umum Daerah H. Abdul Manan Simatupang,Asahan,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1209065,Rumah Sakit Umum Daerah Parapat,Simalungun,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1210010,Rumah Sakit Umum Daerah Sidikalang,Dairi,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1211011,Rumah Sakit Umum  Daerah Kabupaten Karo,Karo,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1212012,Rumah Sakit Umum Daerah Drs. H. Amri Tambunan,Deli Serdang,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1213013,Rumah Sakit Umum Daerah Tanjung Pura,Langkat,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1214022,Rumah Sakit Umum Daerah Nias Selatan,Nias Selatan,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1216011,Rumah Sakit Umum Daerah Salak,Pakpak Bharat,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1218125,Rumah Sakit Umum Daerah Sultan Sulaiman Syariful Alamsyah,Serdang Bedagai,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1219003,Rumah Sakit Umum Daerah Batu Bara,Batu Bara,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1222002,Rumah Sakit Umum Daerah Kota Pinang,Labuhan Batu Selatan,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1223002,Rumah Sakit Umum Daerah Aek Kanopan,Labuhan Batu Utara,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1224002,Rumah Sakit Umum Daerah Tafaeri,Nias Utara,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1225002,Rumah Sakit Pratama Kab. Nias Barat,Nias Barat,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1271016,Rumah Sakit Umum Daerah Dr. FL Tobing Sibolga,City of Sibolga,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1272010,Rumah Sakit Umum Daerah Dr. Tengku Mansyur,City of Tanjung Balai,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1273011,Rumah Sakit Umum Daerah Dr. Djasamen Saragih,City of Pematang Siantar,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1274012,Rumah Sakit Umum Daerah Dr. H. Kumpulan Pane,City of Tebing Tinggi,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1275013,Rumah Sakit Umum Daerah Dr. Pirngadi,City of Medan,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1275655,Rumah Sakit Umum Pusat H. Adam Malik Medan,City of Medan,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1275794,Rumah Sakit Umum Haji Medan,Deli Serdang,North Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1276014,Rumah Sakit Umum Daerah Dr. R. M. Djoelham Binjai,City of Binjai,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1277011,Rumah Sakit Umum Daerah Padang Sidempuan,City of Padang Sidempuan,North Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1301010,Rumah Sakit Umum Daerah Kabupaten Kepulauan Mentawai,Kepulauan Mentawai,West Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1302011,Rumah Sakit Umum Daerah Dr. Muhammad Zein Painan,Pesisir Selatan,West Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1303012,Rumah Sakit Umum Daerah Muara Labuh,Solok Selatan,West Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1303023,Rumah Sakit Umum Daerah Arosuka Solok,Solok,West Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1304014,Rumah Sakit Umum Daerah Ahmad Syafi'i Ma'arif,Sijunjung,West Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1305014,Rumah Sakit Umum Daerah Prof. Dr. M.A. Hanafiah,Tanah Datar,West Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1306015,Rumah Sakit Umum Daerah Pariaman,City of Pariaman,West Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1306056,Rumah Sakit Umum Daerah Padang Pariaman,Padang Pariaman,West Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1308010,Rumah Sakit Umum Daerah dr. Achmad Darwis,Lima Puluh Kota,West Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1308016,Rumah Sakit Umum Daerah Lubuk Basung,Agam,West Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1309011,Rumah Sakit Umum Daerah Tuanku Imam Bonjol,Pasaman,West Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1311013,Rumah Sakit Umum Daerah Sungai Dareh,Dharmasraya,West Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1312024,Rumah Sakit Umum Daerah Pasaman Barat,Pasaman Barat,West Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1371444,Rumah Sakit Umum Daerah dr. Rasidin Padang,City of Padang,West Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1373012,Rumah Sakit Umum Daerah Sawah Lunto,City of Sawah Lunto,West Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1374013,Rumah Sakit Umum Daerah Padang Panjang,City of Padang Panjang,West Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1375014,Rumah Sakit Umum Daerah Dr. Achmad Mochtar,City of Bukittinggi,West Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1375053,Rumah Sakit Umum Daerah Kota Bukittinggi,City of Bukittinggi,West Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1376015,Rumah Sakit Umum Daerah Dr. Adnaan WD,City of Payakumbuh,West Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1401011,Rumah Sakit Umum Daerah Teluk Kuantan,Kuantan Singingi,Riau,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1402012,Rumah Sakit Umum Daerah Indrasari Rengat,Indragiri Hulu,Riau,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1403013,Rumah Sakit Umum Daerah Puri Husada Tembilahan,Indragiri Hilir,Riau,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1404014,Rumah Sakit Umum Daerah Selasih Riau,Pelalawan,Riau,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1405015,Rumah Sakit Umum Daerah Tengku Rafi'an Siak Sri Indrapura,Siak,Riau,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1406016,Rumah Sakit Umum Daerah Bangkinang,Kampar,Riau,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1407011,Rumah Sakit Umum Daerah Rokan Hulu,Rokan Hulu,Riau,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1408011,Rumah Sakit Umum Daerah Bengkalis,Bengkalis,Riau,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1409022,Rumah Sakit Umum Daerah Dr. RM. Pratomo Bagansiapiapi,Rokan Hilir,Riau,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1410043,Rumah Sakit Umum Daerah Kabupaten Kepulauan Meranti,Kepulauan Meranti,Riau,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1471011,Rumah Sakit Umum Daerah Arifin Achmad,City of Pekanbaru,Riau,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1471398,Rumah Sakit Daerah Madani Kota Pekanbaru,City of Pekanbaru,Riau,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1473013,Rumah Sakit Umum Daerah Kota Dumai,City of Dumai,Riau,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1501012,Rumah Sakit Umum Daerah Mayjen H. A. Thalib,City of Sungai penuh,Jambi,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1502014,Rumah Sakit Umum Daerah Kolonel Abundjani Bangko,Merangin,Jambi,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1503036,Rumah Sakit Umum Daerah Prof. Dr. H. Chatib Quzwain,Sarolangun,Jambi,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1504015,Rumah Sakit Umum Daerah Haji Abdoel Madjid Batoe,Batang Hari,Jambi,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1505016,Rumah Sakit Umum Daerah Ahmad Ripin,Muaro Jambi,Jambi,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1506011,Rumah Sakit Umum Daerah Nurdin Hamzah,Tanjung Jabung Timur,Jambi,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1507010,Rumah Sakit Umum Daerah KH. Daud Arif,Tanjung Jabung Barat,Jambi,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1508013,Rumah Sakit Umum Daerah Sultan Thaha Saifuddin,Tebo,Jambi,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1509013,Rumah Sakit Umum Daerah H. Hanafie,Bungo,Jambi,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1571012,Rumah Sakit Umum Daerah Raden Mattaher Jambi,City of Jambi,Jambi,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1571158,Rumah Sakit Umum Daerah H. Abdul Manap,City of Jambi,Jambi,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1601013,Rumah Sakit Umum Daerah Dr. Ibnu Sutowo Baturaja,Ogan Komering Ulu,South Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1602014,Rumah Sakit Umum Daerah Kayuagung,Ogan Komering Ilir,South Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1603063,Rumah Sakit Umum Daerah dr. H. M. Rabain Muara Enim,Muara Enim,South Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1603085,Rumah Sakit Umum Daerah Talang Ubi,Penukal Abab Lematang Ilir,South Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1604016,Rumah Sakit Umum Daerah Lahat,Lahat,South Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1605043,Rumah Sakit Umum Daerah Rupit Kabupaten Musi Rawas Utara,Musi Rawas Utara,South Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1606011,Rumah Sakit Umum Daerah Sekayu,Musi Banyuasin,South Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1607012,Rumah Sakit Umum Daerah Banyuasin,Banyuasin,South Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1608051,Rumah Sakit Umum Daerah Muara Dua,Ogan Komering Ulu Selatan,South Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1609083,Rumah Sakit Umum Daerah Ogan Komering Ulu Timur,Ogan Komering Ulu Timur,South Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1610003,Rumah Sakit Umum Daerah Kabupaten Ogan Ilir,Ogan Ilir,South Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1611042,Rumah Sakit Umum Daerah Kabupaten Empat Lawang,Empat Lawang,South Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1671072,Rumah Sakit Umum Pusat Dr. Rivai Abdullah Banyuasin,Banyuasin,South Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1671347,Rumah Sakit Umum Daerah Siti Fatimah Provinsi Sumatera Selatan,City of Palembang,South Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1672015,Rumah Sakit Umum Daerah Kota Prabumulih,City of Prabumulih,South Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1673031,Rumah Sakit Umum Daerah Basemah Kota Pagar Alam,City of Pagar Alam,South Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1674010,Rumah Sakit Umum Daerah Dr. Sobirin Kabupaten Musi Rawas,Musi Rawas,South Sumatra,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1674032,Rumah Sakit Umum Daerah Siti Aisyah Kota Lubuk Linggau,City of Lubuk Linggau,South Sumatra,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1701014,Rumah Sakit Umum Daerah Hasanuddin Damrah Manna,Bengkulu Selatan,Bengkulu,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1702015,Rumah Sakit Umum Daerah Kabupaten Rejang Lebong,Rejang Lebong,Bengkulu,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1704028,Rumah Sakit Umum Daerah Kaur,Kaur,Bengkulu,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1705018,Rumah Sakit Umum Daerah Tais Kabupaten Seluma,Seluma,Bengkulu,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1706019,Rumah Sakit Umum Daerah Mukomuko,Muko Muko,Bengkulu,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1707026,Rumah Sakit Umum Daerah Lebong,Lebong,Bengkulu,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1708010,Rumah Sakit Umum Daerah Kepahiang,Kepahiang,Bengkulu,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1709038,Rumah Sakit Umum Daerah Bengkulu Tengah,Bengkulu Tengah,Bengkulu,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1771002,Rumah Sakit Umum Daerah Harapan dan Doa,City of Bengkulu,Bengkulu,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1801015,Rumah Sakit Umum Daerah Alimuddin Umar,Lampung Barat,Lampung,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1801017,Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek,City of Bandar Lampung,Lampung,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1802027,Rumah Sakit Umum Daerah Batin Mangunang,Tanggamus,Lampung,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1803010,Rumah Sakit Umum Daerah Pringsewu,Pringsewu,Lampung,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1803021,"Rumah Sakit Umum Daerah Dr. H. Bob Bazar, SKM",Lampung Selatan,Lampung,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1804011,Rumah Sakit Umum Daerah Sukadana,Lampung Timur,Lampung,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1805034,Rumah Sakit Umum Daerah Demang Sepulau Raya,Lampung Tengah,Lampung,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1806013,Rumah Sakit Umum Daerah Mayjend. HM. Ryacudu Kotabumi,Lampung Utara,Lampung,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1807014,Rumah Sakit Umum Daerah Zainal Abidin Pagar Alam,Way Kanan,Lampung,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1808015,Rumah Sakit Umum Daerah Menggala Tulang Bawang,Tulang Bawang,Lampung,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1809002,Rumah Sakit Umum Daerah Pesawaran,Pesawaran,Lampung,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1811002,Rumah Sakit Umum Daerah Ragab Begawe Caram,Mesuji,Lampung,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1812003,Rumah Sakit Umum Daerah Tulang Bawang Barat,Tulang Bawang Barat,Lampung,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1813001,Rumah Sakit Umum Daerah KH. Muhammad Thohir KRUI,Pesisir Barat,Lampung,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1871048,Rumah Sakit Umum Daerah Dr. A. Dadi Tjokrodipo,City of Bandar Lampung,Lampung,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1872016,Rumah Sakit Umum Daerah Ahmad Yani Metro,City of Metro,Lampung,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1901016,Rumah Sakit Umum Daerah Depati Bahrin,Bangka,Bangka Belitung Islands,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1902010,Rumah Sakit Umum Daerah dr. H. Marsidi Judono,Belitung,Bangka Belitung Islands,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1903013,Rumah Sakit Umum Daerah Sejiran Setason,Bangka Barat,Bangka Belitung Islands,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1904013,Rumah Sakit Umum Daerah Drs. H. Abu Hanifah,Bangka Tengah,Bangka Belitung Islands,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1905024,Rumah Sakit Umum Daerah Kab. Bangka Selatan,Bangka Selatan,Bangka Belitung Islands,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1906014,Rumah Sakit Umum Daerah Muhammad Zein,Belitung Timur,Bangka Belitung Islands,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,1971021,Rumah Sakit Umum Daerah Depati Hamzah,City of Pangkal Pinang,Bangka Belitung Islands,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,2001013,Rumah Sakit Umum Daerah Muhammad Sani Kabupaten Karimun,Karimun,Riau Islands,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,2002002,Rumah Sakit Umum Daerah Kabupaten Bintan,Bintan,Riau Islands,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,2003011,Rumah Sakit Umum Daerah Natuna,Natuna,Riau Islands,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,2004012,Rumah Sakit Umum Daerah Dabo Kabupaten Lingga,Lingga,Riau Islands,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,2071114,Rumah Sakit Umum Daerah Embung Fatimah Kota Batam,City of Batam,Riau Islands,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,2072002,Rumah Sakit Umum Daerah Raja Ahmad Tabib,City of Tanjung Pinang,Riau Islands,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,2072012,Rumah Sakit Umum Daerah Kota Tanjung Pinang,City of Tanjung Pinang,Riau Islands,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,2105005,Rumah Sakit Umum Daerah Tarempa,Kepulauan Anambas,Riau Islands,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3173014,Rumah Sakit Umum Pusat Nasional Dr. Cipto Mangunkusumo Jakarta,City of Jakarta Pusat,Central Capitol Jakarta,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3201046,Rumah Sakit Umum Daerah Cibinong,Bogor,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3202014,Rumah Sakit Umum Daerah Sekarwangi,Sukabumi,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3203015,Rumah Sakit Umum Daerah Sayang,Cianjur,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3204016,Rumah Sakit Umum Daerah Majalaya,Bandung,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3204086,Rumah Sakit Umum Daerah Al Ihsan Provinsi Jawa Barat,Bandung,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3205010,Rumah Sakit Umum Daerah dr. Slamet Garut,Garut,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3206011,Rumah Sakit Umum Daerah dr. Soekardjo,City of Tasikmalaya,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3206023,Rumah Sakit Umum Daerah Singaparna Medika Citrautama,Tasikmalaya,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3207012,Rumah Sakit Umum Daerah Kab. Ciamis,Ciamis,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3207023,Rumah Sakit Umum Daerah Banjar,City of Banjar,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3208013,Rumah Sakit Umum Daerah 45 Kuningan,Kuningan,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3209014,Rumah Sakit Umum Daerah Waled,Cirebon,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3210025,Rumah Sakit Umum Daerah Cideres,Majalengka,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3211015,Rumah Sakit Umum Daerah Sumedang,Sumedang,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3212016,Rumah Sakit Umum Daerah Kab. Indramayu,Indramayu,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3213010,Rumah Sakit Umum Daerah Subang,Subang,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3214011,Rumah Sakit Umum Daerah Bayu Asih,Purwakarta,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3215012,Rumah Sakit Umum Daerah Karawang,Karawang,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3216252,Rumah Sakit Umum Daerah Kab. Bekasi,Bekasi,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3217002,Rumah Sakit Umum Daerah Cililin,Bandung Barat,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3218001,Rumah Sakit Umum Daerah Pandega Pangandaran,Pangandaran,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3271104,Rumah Sakit Umum Daerah Kota Bogor,City of Bogor,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3272014,"Rumah Sakit Umum Daerah R. Syamsudin, SH",City of Sukabumi,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3273260,Rumah Sakit Umum Daerah Bandung Kiwari,City of Bandung,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3274016,Rumah Sakit Daerah Gunung Jati,City of Cirebon,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3275013,Rumah Sakit Umum Daerah dr. Chasbullah Abdulmadjid,City of Bekasi,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3276124,Rumah Sakit Umum Daerah Khidmat Sehat Afiat Kota Depok,City of Depok,West Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3277020,Rumah Sakit Umum Daerah Cibabat,City of Cimahi,West Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3301014,Rumah Sakit Umum Daerah Cilacap,Cilacap,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3302015,Rumah Sakit Umum Daerah Banyumas,Banyumas,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3303016,Rumah Sakit Umum Daerah dr. R. Goeteng Taroenadibrata,Purbalingga,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3304010,Rumah Sakit Umum Daerah Hj. Anna Lasmanah Banjarnegara,Banjarnegara,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3305011,Rumah Sakit Umum Daerah dr. Soedirman Kabupaten Kebumen,Kebumen,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3306012,Rumah Sakit Umum Daerah Dr. Tjitrowardojo Purworejo,Purworejo,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3307013,Rumah Sakit Umum Setjonegoro Wonosobo,Wonosobo,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3308014,Rumah Sakit Umum Daerah Muntilan Kab. Magelang,Magelang,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3309015,Rumah Sakit Umum Daerah Pandan Arang Boyolali,Boyolali,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3310015,Rumah Sakit Umum Pusat Dr. Soeradji Tirtonegoro Klaten,Klaten,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3310421,Rumah Sakit Umum Daerah Bagas Waras,Klaten,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3311016,Rumah Sakit Umum Daerah Ir. Soekarno Kabupaten Sukoharjo,Sukoharjo,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3312010,Rumah Sakit Umum Daerah Dr. Soediran Mangun Sumarso Wonogiri,Wonogiri,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3313011,Rumah Sakit Umum Daerah Kartini Karanganyar,Karanganyar,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3314012,Rumah Sakit Umum Daerah dr. Soehadi Prijonegoro,Sragen,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3315013,Rumah Sakit Umum Daerah Dr. R. Soedjati Soemodiardjo Purwodadi,Grobogan,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3316014,Rumah Sakit Umum Daerah dr. Soetijono Blora,Blora,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3317015,Rumah Sakit Umum Daerah dr. R. Soetrasno Rembang,Rembang,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3318016,Rumah Sakit Umum Daerah RAA Soewondo,Pati,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3319010,Rumah Sakit Umum Daerah dr. Loekmono Hadi,Kudus,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3320010,Rumah Sakit Umum Daerah R. A. Kartini,Jepara,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3321011,Rumah Sakit Umum Daerah Sunan Kalijaga,Demak,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3322012,Rumah Sakit Umum Daerah dr. Gunawan Mangunkusumo,Semarang,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3323013,Rumah Sakit Umum Daerah Djojonegoro Temanggung,Temanggung,Central Java,2025,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3324014,Rumah Sakit Umum Daerah Dr. H. Soewondo Kendal,Kendal,Central Java,2024,1
Ventilator Non-invasif Anak/Dewasa,MotherChild,3325015,Rumah Sakit Umum Daerah Kab. Batang,Batang,Central Java,2025,1
